gene,cell_type,union_bait,union_nBait,npc_bait,npc_nBait,exn_bait,exn_nBait,ADHD_20,ADHD_GWAS,ASD_72,ASD_185,DD_309,DD_477,NDD_373,NDD_664,SCZ_10,SCZ_32,fc_fdr_source
SPTAN1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SPTBN1,Both,ANK2,1,ANK2,1,ANK2,1,True,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SPTBN2,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,True,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SRCIN1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SVIL,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SYNCRIP,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,True,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SYT1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,True,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TANC2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TIMP1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TMOD1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TMOD3,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TPM1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TPM3,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TPM4,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TUBA1A,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TUBB,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
TUBB2A,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
UCHL1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
USO1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
USP42,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
VDAC2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
VIM,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
VIRMA,ExN,"ANK2,MAP1A",2,MAP1A,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
YWHAE,ExN,"ANK2,ANO8,MAP1A",3,NA,0,"ANK2,ANO8,MAP1A",3,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
YWHAH,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
YWHAQ,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
YWHAZ,ExN,"ANK2,MAP1A",2,NA,0,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
